Real,Error,Count
٥,ه,22
٥,0,1
٥,o,5
٥,٩,20
٥,9,1
٥,ة,2
؛,؟,2
١,أ,2
٢,ا,14
١,1,11
١,\,13
٢,ا,16
٢,٣,11
٣,ا,17
*,+,9
*,ء,1
*,«,1
٣,2,4
٣,٢,26
٣,٤,2
٣,7,1
٥,ة,1
٤,؟,8
٤,ة,6
٤,4,1
٤,،,1
٤,ا,1
٥,ه,13
٥,؟,1
%,I,1
٥,%,1
%,7,9
%,٧,1
%,/,7
%,{,1
٨,/,2
١,\,1
،,٠,109
 ,.,6
 ,إ,1
٢, ,1
 ,ا,1
١,ا,183
١,إ,2
٢,؟,75
٢,},1
٣,؟,50
٦,1,27
٦,7,2
٦,ا,4
.,:,1
:,.,2
٥,9,1
٧,لا,10
:,•,2
٩,؟,2
٩,1,2
٩,أ,1
*,ج,1
*,#,1
*,ه,2
٠,.,43
٠,،,1
٢,2,2
٢,ا,12
٨,8,1
٢,2,1
٢,7,1
١٦,ا,1
٨,«,1
